task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	66/e02f89	2547	ASSEMBLY_QC (Bvulgatus_002)	CACHED	0	2026-08-20 12:59:35.587	7.7s	337ms	44.4%	20.1 MB	1.2 GB	1.5 MB	419 B
1	e6/04862d	32013	DETECT_AMR (Bvulgatus_001)	CACHED	0	2026-08-20 13:23:00.833	43.8s	32.7s	219.4%	359.9 MB	1.1 GB	24.5 MB	14.4 MB
16	8e/36758a	3985	VALIDATE_INPUT (validate)	CACHED	0	2026-08-20 13:23:52.263	7.8s	255ms	40.3%	4.8 MB	15.2 MB	214.8 KB	5.5 KB
7	7c/5c50dd	4991	DETECT_AMR (Bvulgatus_004)	CACHED	0	2026-08-20 13:24:09.761	50.1s	34.7s	188.6%	353.4 MB	1.1 GB	25.4 MB	14.8 MB
5	95/9203ea	4519	DETECT_AMR (Bvulgatus_002)	CACHED	0	2026-08-20 13:24:00.166	41.9s	34.5s	191.4%	353.5 MB	1.1 GB	24.2 MB	14.2 MB
6	aa/b61ca6	1953	DETECT_AMR (Bvulgatus_003)	CACHED	0	2026-08-20 12:59:30.186	32.7s	27.4s	220.9%	353.5 MB	774 MB	24.1 MB	14.3 MB
14	0e/7f4500	1441	ASSEMBLY_QC (Bvulgatus_004)	CACHED	0	2026-08-20 12:59:13.633	16.5s	1.8s	14.3%	5.6 MB	1.2 GB	1.7 MB	437 B
10	50/ab7c42	1459	ASSEMBLY_QC (Bvulgatus_003)	CACHED	0	2026-08-20 12:59:13.685	16.2s	1.7s	12.7%	5.5 MB	1.2 GB	1.5 MB	436 B
3	6a/45c1a3	1848	ASSEMBLY_QC (Bvulgatus_001)	CACHED	0	2026-08-20 12:59:29.915	5.6s	220ms	79.2%	20.7 MB	1.2 GB	1.5 MB	420 B
11	15/b1b0c2	1477	ANNOTATE_GENOMES (Bvulgatus_003)	CACHED	0	2026-08-20 12:59:13.735	23m 47s	23m 32s	99.7%	825.9 MB	4.3 GB	96.4 GB	197.6 MB
12	bc/912443	9582	ANNOTATE_GENOMES (Bvulgatus_004)	CACHED	0	2026-08-20 13:24:42.084	26m 29s	26m 16s	98.6%	827.7 MB	1 GB	118 GB	228 MB
2	ae/882f6c	3984	ANNOTATE_GENOMES (Bvulgatus_001)	CACHED	0	2026-08-20 12:59:43.354	25m 41s	25m 26s	98.8%	866 MB	4.2 GB	110.1 GB	210.7 MB
9	b9/53317b	6542	ANNOTATE_GENOMES (Bvulgatus_002)	CACHED	0	2026-08-20 13:00:02.884	24m 7s	24m 1s	100.5%	827.5 MB	1 GB	102.9 GB	206.5 MB
15	a2/b9ac8c	11372	ASSEMBLY_QC (Bvulgatus_005)	CACHED	0	2026-08-20 13:24:59.946	7.5s	357ms	72.7%	20.1 MB	1.2 GB	1.6 MB	419 B
17	66/b17b54	12241	DETECT_AMR (Bvulgatus_006)	CACHED	0	2026-08-20 13:25:07.455	38.2s	31.3s	225.2%	361.1 MB	778.1 MB	25.5 MB	15.1 MB
20	c2/e52177	3742	ASSEMBLY_QC (Bvulgatus_007)	CACHED	0	2026-08-20 13:23:44.680	7.5s	306ms	84.4%	20 MB	1.2 GB	1.5 MB	419 B
21	30/6369ea	17874	ASSEMBLY_QC (Bvulgatus_008)	CACHED	0	2026-08-20 13:50:33.132	5.2s	200ms	114.9%	22.2 MB	1.2 GB	1.6 MB	420 B
19	2e/07fe05	2733	DETECT_AMR (Bvulgatus_007)	CACHED	0	2026-08-20 13:52:23.419	29.3s	23.9s	209.4%	348.3 MB	771.6 MB	24.5 MB	14.5 MB
23	8f/c08344	18338	DETECT_AMR (Bvulgatus_008)	CACHED	0	2026-08-20 13:50:38.312	29s	23.9s	216.7%	354.6 MB	774.7 MB	24.8 MB	14.4 MB
8	6c/83a1ed	22976	DETECT_AMR (Bvulgatus_005)	CACHED	0	2026-08-20 13:51:11.516	30.7s	25.1s	211.4%	354.7 MB	774.4 MB	24.8 MB	14.5 MB
24	6e/e8975a	29751	DETECT_AMR (Bvulgatus_009)	CACHED	0	2026-08-20 13:51:47.642	31.1s	25.6s	212.3%	354.8 MB	774.1 MB	25.1 MB	14.9 MB
18	83/9da31f	16862	ASSEMBLY_QC (Bvulgatus_006)	CACHED	0	2026-08-20 13:25:45.739	7.8s	245ms	98.0%	25.8 MB	1.2 GB	1.6 MB	419 B
22	7d/0b0ffb	29134	ASSEMBLY_QC (Bvulgatus_009)	CACHED	0	2026-08-20 13:51:42.199	5.3s	180ms	96.4%	21.1 MB	1.2 GB	1.6 MB	419 B
13	91/ff12cd	18120	ANNOTATE_GENOMES (Bvulgatus_005)	CACHED	0	2026-08-20 13:25:53.609	24m 39s	24m 32s	100.0%	747.3 MB	1 GB	119.5 GB	221.9 MB
26	5e/84d61f	14186	ANNOTATE_GENOMES (Bvulgatus_007)	CACHED	0	2026-08-20 13:25:24.085	23m 25s	23m 10s	99.9%	743.9 MB	941.8 MB	105.3 GB	208.6 MB
