Gene,Non-unique Gene name,Annotation,Bvulgatus_003,Bvulgatus_002,Bvulgatus_001,Bvulgatus_007,Bvulgatus_005,Bvulgatus_004,Bvulgatus_008,Bvulgatus_006,Bvulgatus_009,Bvulgatus_010,Bvulgatus_011,Bvulgatus_012,Bvulgatus_013,Bvulgatus_015,Bvulgatus_014,Bvulgatus_016
group_6363,,hypothetical protein,HEIJGMMO_01614,GPOEIMLL_00212,IJAHANFD_02223,DILGGDIB_01556,PACOMJFE_01372,DLCGALLP_01006,BFLOPMGA_00740,FDBKJOBC_02747,NKLAJGJN_02152,FONGECLK_03451,KCGFLPLG_02174,OLJLFCEF_02149,AABBIEKD_00461,KHFKBGOE_02213,MIHLPIAK_01568,FIKBGKBO_01918
coaW,;coaW,hypothetical protein;Type II pantothenate kinase,HEIJGMMO_02944,GPOEIMLL_03084,IJAHANFD_03395,DILGGDIB_02535,PACOMJFE_04178,DLCGALLP_04152;DLCGALLP_04151,BFLOPMGA_02760,FDBKJOBC_03458,NKLAJGJN_03316,FONGECLK_02877,KCGFLPLG_03424,OLJLFCEF_03327;OLJLFCEF_03326,AABBIEKD_02886,KHFKBGOE_03295,MIHLPIAK_04168,FIKBGKBO_02678
group_6337,,hypothetical protein,HEIJGMMO_01615,GPOEIMLL_00211,IJAHANFD_02222,DILGGDIB_01557,PACOMJFE_01373,DLCGALLP_01005,BFLOPMGA_00741,FDBKJOBC_02746,NKLAJGJN_02151,FONGECLK_03450,KCGFLPLG_02175,OLJLFCEF_02148,AABBIEKD_00460,KHFKBGOE_02212,MIHLPIAK_01569,FIKBGKBO_01917
egtB~~~egtB_1,egtB;;egtB_1,Hercynine oxygenase;hypothetical protein,HEIJGMMO_00243,GPOEIMLL_01521;GPOEIMLL_01522,IJAHANFD_00655,DILGGDIB_00936,PACOMJFE_01988,DLCGALLP_00047;DLCGALLP_00048,BFLOPMGA_03663;BFLOPMGA_03664,FDBKJOBC_00076,NKLAJGJN_00819,FONGECLK_01382,KCGFLPLG_00744,OLJLFCEF_01589;OLJLFCEF_01588,AABBIEKD_01706,KHFKBGOE_01385,MIHLPIAK_01950,FIKBGKBO_01076
group_6321,,hypothetical protein,HEIJGMMO_00883,GPOEIMLL_02094,IJAHANFD_01718,DILGGDIB_00834,PACOMJFE_00538,DLCGALLP_03640,BFLOPMGA_03215,FDBKJOBC_01451,NKLAJGJN_00566,FONGECLK_00472,KCGFLPLG_00566,OLJLFCEF_04094,AABBIEKD_00026,KHFKBGOE_01988,MIHLPIAK_00534,FIKBGKBO_00803
fldA,;fldA,Flavodoxin 1,HEIJGMMO_03283,GPOEIMLL_03540,IJAHANFD_03295,DILGGDIB_02614,PACOMJFE_04071,DLCGALLP_00376,BFLOPMGA_01590,FDBKJOBC_03924,NKLAJGJN_03935,FONGECLK_03705,KCGFLPLG_03935,OLJLFCEF_03478,AABBIEKD_03821,KHFKBGOE_04228,MIHLPIAK_03971,FIKBGKBO_03094
mscS_2,;mscS_2,hypothetical protein;Small-conductance mechanosensitive channel,HEIJGMMO_03290,GPOEIMLL_03533,IJAHANFD_03288,DILGGDIB_02621,PACOMJFE_04078,DLCGALLP_00372,BFLOPMGA_01597,FDBKJOBC_03931,NKLAJGJN_03929,FONGECLK_03712,KCGFLPLG_03941,OLJLFCEF_03485,AABBIEKD_03828,KHFKBGOE_04345,MIHLPIAK_03978,FIKBGKBO_03101
sigW_6~~~sigV,sigW_6;sigV,ECF RNA polymerase sigma factor SigW;RNA polymerase sigma factor SigV,HEIJGMMO_02289,GPOEIMLL_02527,IJAHANFD_01657,DILGGDIB_02959,PACOMJFE_02678,DLCGALLP_01996,BFLOPMGA_01157,FDBKJOBC_01125,NKLAJGJN_02630,FONGECLK_01959,KCGFLPLG_02698,OLJLFCEF_01972,AABBIEKD_03640,KHFKBGOE_01791,MIHLPIAK_02762,FIKBGKBO_02797
group_6298,,hypothetical protein,HEIJGMMO_02288,GPOEIMLL_02528,IJAHANFD_01656,DILGGDIB_02960,PACOMJFE_02679,DLCGALLP_01997,BFLOPMGA_01156,FDBKJOBC_01126,NKLAJGJN_02631,FONGECLK_01960,KCGFLPLG_02697,OLJLFCEF_01973,AABBIEKD_03641,KHFKBGOE_01792,MIHLPIAK_02763,FIKBGKBO_02798
slyD,slyD,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,HEIJGMMO_01365,GPOEIMLL_00647,IJAHANFD_00898,DILGGDIB_02187,PACOMJFE_01867,DLCGALLP_01677,BFLOPMGA_00715,FDBKJOBC_00554,NKLAJGJN_02303,FONGECLK_01567,KCGFLPLG_02206,OLJLFCEF_00672,AABBIEKD_02163,KHFKBGOE_00349,MIHLPIAK_01026,FIKBGKBO_00900
