file                                                                  format  type  num_seqs    sum_len  min_len   avg_len  max_len        Q1        Q2         Q3  sum_gap      N50  N50_num  Q20(%)  Q30(%)  AvgQual  GC(%)
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_001.fna.gz  FASTA   DNA         60  4,817,791      542  80,296.5  483,826  17,750.5    48,778    102,402        0  145,209        9       0       0        0  42.04
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_002.fna.gz  FASTA   DNA         61  4,679,233      529  76,708.7  345,503     6,052    43,306    103,432        0  201,008        9       0       0        0  42.16
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_003.fna.gz  FASTA   DNA         70  4,498,174      601  64,259.6  385,775    14,035    44,431     79,884        0  122,019       11       0       0        0  41.98
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_004.fna.gz  FASTA   DNA         71  5,243,870      583  73,857.3  296,747  22,809.5    58,856  110,623.5        0  121,643       15       0       0        0  42.03
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_005.fna.gz  FASTA   DNA         78  5,001,746      517  64,124.9  400,503     5,903  38,590.5     84,400        0  139,984       12       0       0        0  42.18
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_006.fna.gz  FASTA   DNA         80  5,062,435      501  63,280.4  472,798   4,561.5    26,162     90,007        0  157,195       11       0       0        0  42.46
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_007.fna.gz  FASTA   DNA         81  4,716,014      571  58,222.4  362,346     8,133    40,274     79,360        0  121,418       14       0       0        0   42.1
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_008.fna.gz  FASTA   DNA         84  5,126,472      557  61,029.4  320,245   5,576.5  23,447.5   88,880.5        0  134,400       12       0       0        0  41.75
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_009.fna.gz  FASTA   DNA         84  4,966,393      573  59,123.7  366,010     8,038    33,403   92,437.5        0  127,154       13       0       0        0   42.4
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_010.fna.gz  FASTA   DNA         84  4,664,749      540  55,532.7  304,808     8,987  37,468.5   81,757.5        0  102,565       14       0       0        0  42.05
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_011.fna.gz  FASTA   DNA         85  4,965,918      674  58,422.6  366,031     7,915    32,057     92,441        0  127,166       13       0       0        0   42.4
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_012.fna.gz  FASTA   DNA         86  5,111,905      591  59,440.8  332,959     3,944    34,748     85,528        0  138,748       14       0       0        0  42.28
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_013.fna.gz  FASTA   DNA         87  4,966,975      511  57,091.7  302,644   6,857.5    26,811   90,577.5        0  137,571       14       0       0        0  42.16
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_014.fna.gz  FASTA   DNA         88  5,031,441      538  57,175.5  400,624     4,984    25,326   72,191.5        0  144,864       12       0       0        0  42.17
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_015.fna.gz  FASTA   DNA         91  5,075,555      513  55,775.3  267,763     2,747    20,864     91,703        0  125,429       15       0       0        0  42.49
/home/abrar/projects/gut-pangenome/data/genomes/Bvulgatus_016.fna.gz  FASTA   DNA         96  4,940,631      515  51,464.9  285,360   5,377.5  21,216.5   79,725.5        0  123,135       14       0       0        0  42.24
